DocID,publish_time,feed_code,source_url,headline_text,language
1979246,2018-08-24 00:04:00,w3-mailonline-ie,http://www.dailymail.co.uk/wires/reuters/article-6092333/Stevie-Wonder-heads-star-line-Aretha-Franklin-funeral.html?ns_mchannel=rss&ito=1490&ns_campaign=1490,Stevie Wonder heads star line-up for Aretha Franklin...,en
1979247,2018-08-24 00:04:00,w3-mdcoastdispatch,https://mdcoastdispatch.com/2018/08/23/community-foundation-of-the-eastern-shore-matches-easterseals-5000-to-send-more-adults-to-camp/,"Community Foundation Of The Eastern Shore Matches Easterseals $5,000 To Send More Adults To Camp",en
1979248,2018-08-24 00:04:00,w3-mdcoastdispatch,https://mdcoastdispatch.com/2018/08/23/salisbury-zoo-to-host-give-a-hoot-benefit/,Salisbury Zoo To Host 'Give A Hoot' Benefit,en
1979249,2018-08-24 00:04:00,w3-mdcoastdispatch,https://mdcoastdispatch.com/2018/08/23/whats-your-sign-august-24-2018/,"What's Your Sign? August 24, 2018",en
1979250,2018-08-24 00:04:00,w3-mdcoastdispatch,https://mdcoastdispatch.com/2018/08/23/youth-flag-football-league-forming/,Youth Flag Football League Forming,en
1979251,2018-08-24 00:04:00,w3-rfa-org,https://www.rfa.org/english/news/cambodia/release-08232018160406.html,Cambodia's Prime Minister Hun Sen Mulling Mass Release of Political Prisoners,en
1979252,2018-08-24 00:04:00,w3-un-org,https://www.un.org/press/en/2018/sc13463.doc.htm,Security Council: Threats to international peace and security caused by terrorist acts,en
1979253,2018-08-24 00:04:00,w3-wdrb,http://www.wdrb.com/story/38949633/fertility-doctor-who-used-own-sperm-lied-surrenders-license,"Fertility doctor who used own sperm, lied surrenders license",en
1979254,2018-08-24 00:04:00,w3-mdcoastdispatch,https://mdcoastdispatch.com/2018/08/23/absolut-pleasure-wins-poor-girls-open/,Absolut Pleasure Wins Poor Girl's Open,en
1979255,2018-08-24 00:05:00,w3-eleconomista,https://www.eleconomista.net/tendencias/Facebook-prohibe-app-myPersonality-por-posible-mal-uso-datos-20180823-0025.html,Facebook prohíbe app myPersonality por posible mal uso datos,en
1979256,2018-08-24 00:05:00,w3-gulftoday-ae,http://gulftoday.ae/portal/7980581e-12a4-475f-a7db-98c21b994919.aspx,Infosys opens fourth technology hub in US,en
1979257,2018-08-24 00:05:00,w3-hopestandard,https://www.hopestandard.com/news/maxime-bernier-tears-strip-off-conservatives-scheer-as-he-quits-federal-party/,"Maxime Bernier tears strip off Conservatives, Scheer as he quits federal party",en
1979258,2018-08-24 00:05:00,w3-wuwf-org,http://www.wuwf.org/post/what-counts-breaking-campaign-finance-law,What counts as breaking campaign finance law?,en
1979259,2018-08-24 00:05:00,w3-wlsam,http://www.wlsam.com/news/trumps-story-on-hush-money-payments-to-silence-women-keeps-changing/,Trump's story on hush money payments to silence women keeps changing,en
1979260,2018-08-24 00:05:00,w3-wlsam,http://www.wlsam.com/news/bolton-warns-russia-over-election-interference-denies-trump-is-a-security-risk/,"Bolton warns Russia over election interference, denies Trump is a 'security risk'",en
1979261,2018-08-24 00:05:00,w3-wlbz2,https://www.newscentermaine.com/article/news/local/brewer-pd-addresses-abduction-rumors-says-think-before-sharing-on-social-media/97-586977798,"Brewer PD addresses 'abduction' rumors, says think before sharing on social media",en
